CountryOrTerritory	ReportingYear	UpdateTime	StationLocalId	SamplingPointLocalId	SamplingPoint_Latitude	SamplingPoint_Longitude	Pollutant	AggregationType	Namespace	Unit	BeginPosition	EndPosition	Validity	Verification	DataCoverage	DataCapture	TimeCoverage	AQValue
Bulgaria	2015	0001-01-01T00:00:00Z	STA-BG0024A	SPO-BG0024A_05029_100	42.727489	23.556006	Benzo(a)pyrene in PM10 (aerosol)	1 year day max	BG.BG-ExEA.AQ	ng.m-3	1/1/2015	1/1/2016	Not valid	Verified	38.35616438	38.35616438	100	16.8
Bulgaria	2015	0001-01-01T00:00:00Z	STA-BG0024A	SPO-BG0024A_05029_100	42.727489	23.556006	Benzo(a)pyrene in PM10 (aerosol)	Annual mean / 1 calendar year	BG.BG-ExEA.AQ	ng.m-3	1/1/2015	1/1/2016	Not valid	Verified	38.35616438	38.35616438	100	1.612
Bulgaria	2015	0001-01-01T00:00:00Z	STA-BG0046A	SPO-BG0046A_05029_100	42.578275	23.113975	Benzo(a)pyrene in PM10 (aerosol)	Annual mean / 1 calendar year	BG.BG-ExEA.AQ	ng.m-3	1/1/2015	1/1/2016	Not valid	Verified	33.15068493	33.15068493	100	1.33603305
Bulgaria	2015	0001-01-01T00:00:00Z	STA-BG0060A	SPO-BG0060A_05029_100	43.409706	23.223933	Benzo(a)pyrene in PM10 (aerosol)	1 year day min	BG.BG-ExEA.AQ	ng.m-3	1/1/2015	1/1/2016	Not valid	Verified	32.87671233	32.87671233	100	0
Bulgaria	2015	0001-01-01T00:00:00Z	STA-BG0071A	SPO-BG0071A_05029_100	42.659758	27.720956	Benzo(a)pyrene in PM10 (aerosol)	Annual mean / 1 calendar year	BG.BG-ExEA.AQ	ng.m-3	1/1/2015	1/1/2016	Not valid	Verified	29.04109589	29.04109589	100	0.04679245
Bulgaria	2015	0001-01-01T00:00:00Z	STA-BG0071A	SPO-BG0071A_05029_100	42.659758	27.720956	Benzo(a)pyrene in PM10 (aerosol)	1 year day min	BG.BG-ExEA.AQ	ng.m-3	1/1/2015	1/1/2016	Not valid	Verified	29.04109589	29.04109589	100	0
Bulgaria	2015	0001-01-01T00:00:00Z	STA-BG0071A	SPO-BG0071A_05029_100	42.659758	27.720956	Benzo(a)pyrene in PM10 (aerosol)	1 year day max	BG.BG-ExEA.AQ	ng.m-3	1/1/2015	1/1/2016	Not valid	Verified	29.04109589	29.04109589	100	1.19
Bulgaria	2015	0001-01-01T00:00:00Z	STA-BG0070A	SPO-BG0070A_05029_100	42.637192	23.243864	Benzo(a)pyrene in PM10 (aerosol)	Annual mean / 1 calendar year	BG.BG-ExEA.AQ	ng.m-3	1/1/2015	1/1/2016	Not valid	Verified	25.75342466	25.75342466	100	0.00723404
Bulgaria	2015	0001-01-01T00:00:00Z	STA-BG0074A	SPO-BG0074A_05029_100	43.202936	27.904428	Benzo(a)pyrene in PM10 (aerosol)	1 year day max	BG.BG-ExEA.AQ	ng.m-3	1/1/2015	1/1/2016	Not valid	Verified	34.52054795	34.52054795	100	5.27
Bulgaria	2015	0001-01-01T00:00:00Z	STA-BG0019A	SPO-BG0019A_05029_100	43.4118	24.615006	Benzo(a)pyrene in PM10 (aerosol)	Annual mean / 1 calendar year	BG.BG-ExEA.AQ	ng.m-3	1/1/2015	1/1/2016	Not valid	Verified	32.87671233	32.87671233	100	2.01708333
Bulgaria	2015	0001-01-01T00:00:00Z	STA-BG0061A	SPO-BG0061A_05029_100	41.930214	25.55265	Benzo(a)pyrene in PM10 (aerosol)	1 year day min	BG.BG-ExEA.AQ	ng.m-3	1/1/2015	1/1/2016	Not valid	Verified	33.15068493	33.15068493	100	0
Bulgaria	2015	0001-01-01T00:00:00Z	STA-BG0061A	SPO-BG0061A_05029_100	41.930214	25.55265	Benzo(a)pyrene in PM10 (aerosol)	Annual mean / 1 calendar year	BG.BG-ExEA.AQ	ng.m-3	1/1/2015	1/1/2016	Not valid	Verified	33.15068493	33.15068493	100	1.84429752
Bulgaria	2015	0001-01-01T00:00:00Z	STA-BG0072A	SPO-BG0072A_05029_100	42.152642	24.750764	Benzo(a)pyrene in PM10 (aerosol)	1 year day min	BG.BG-ExEA.AQ	ng.m-3	1/1/2015	1/1/2016	Not valid	Verified	20.54794521	20.54794521	100	0
Switzerland	2015	0001-01-01T00:00:00Z	STA-CH0028A	SPO-CH0028A_05029_100	46.522	6.6397	Benzo(a)pyrene in PM10 (aerosol)	yearly mean weighted average	CH.BAFU.AQ	ng.m-3	1/1/2015	1/1/2016	Valid	Verified	100	100	100	0.103
Switzerland	2015	0001-01-01T00:00:00Z	STA-CH0031A	SPO-CH0031A_05029_100	46.951	7.44087	Benzo(a)pyrene in PM10 (aerosol)	yearly mean weighted average	CH.BAFU.AQ	ng.m-3	1/1/2015	1/1/2016	Valid	Verified	100	100	100	0.244
Switzerland	2015	0001-01-01T00:00:00Z	STA-CH0003R	SPO-CH0003R_05029_100	47.4798	8.90468	Benzo(a)pyrene in PM10 (aerosol)	yearly mean weighted average	CH.BAFU.AQ	ng.m-3	1/1/2015	1/1/2016	Valid	Verified	100	100	100	0.264
Cyprus	2015	0001-01-01T00:00:00Z	STA-CY0005A	SPO-CY0005A_05029_100	34.68166733	33.01777649	Benzo(a)pyrene in PM10 (aerosol)	Annual mean / 1 calendar year	CY.DLI-MLSI.AQ	ng.m-3	1/1/2015	1/1/2016	Valid	Verified	87.39726027	100	87.39726027	0.17082445
Cyprus	2015	0001-01-01T00:00:00Z	STA-CY0005A	SPO-CY0005A_05029_100	34.68166733	33.01777649	Benzo(a)pyrene in PM10 (aerosol)	1 year 50 %ile of daily values in a year	CY.DLI-MLSI.AQ	ng.m-3	1/1/2015	1/1/2016	Valid	Verified	87.39726027	100	87.39726027	0.071
Czech Republic	2015	0001-01-01T00:00:00Z	STA.CZ_SSTE	SPO.CZ_SSTE0_Cd_1322773	50.17058563	14.19057178	Benzo(a)pyrene in PM10 (aerosol)	yearly mean weighted average	CZ.CHMI-Prague-Komorany.AQ	ng.m-3	1/1/2015	1/1/2016	Valid	Verified	99.7260274	100	99.7260274	0.224223
Czech Republic	2015	0001-01-01T00:00:00Z	STA.CZ_UUKP	SPO.CZ_UUKP0_Cd_513808	50.66478348	14.02669239	Benzo(a)pyrene in PM10 (aerosol)	yearly mean weighted average	CZ.CHMI-Prague-Komorany.AQ	ng.m-3	1/1/2015	1/1/2016	Valid	Verified	99.7260274	100	99.7260274	0.104958
Czech Republic	2015	0001-01-01T00:00:00Z	STA.CZ_LSOU	SPO.CZ_LSOU0_Cd_336579	50.78964615	15.31968307	Benzo(a)pyrene in PM10 (aerosol)	1 year 50 percentile	CZ.CHMI-Prague-Komorany.AQ	ng.m-3	1/1/2015	1/1/2016	Not valid	Not verified	0	0	0	0
